id,year,image,title,authors,publisher,published,note,amazon_url,people,edition_year,isbn,source_url,image_source_url
18,2020,data/images/book/pub18.jpg,マルチエージェントによる金融市場のシミュレーション,高安美佐子・和泉潔・山田健太・水田孝信 著,コロナ社,2020年8月26日,,https://www.amazon.co.jp/dp/4339028223,misako,,,https://takayasu-research-lab.com/en/book.php,
17,2017,data/images/book/pub17.jpg,Statistical Mechanics for Athermal Fluctuation,Kiyoshi Kanazawa,Springer,2017年11月20日,,https://www.amazon.co.jp/dp/B077N42NBX,,,,https://takayasu-research-lab.com/en/book.php,
20,2015,data/images/book/pub20.jpg,"Proceedings of the International Conference on Social Modeling and Simulation, plus Econophysics Colloquium 2014","Hideki Takayasu, Nobuyasu Ito, Itsuki Noda, Misako Takayasu / Eds.",Springer,2015年,,https://www.amazon.co.jp/dp/3319205900,misako;hideki,,9783319205908,https://link.springer.com/book/10.1007/978-3-319-20591-5,https://media.springernature.com/w600/springer-static/cover/book/978-3-319-20591-5.jpg
27,2015,data/images/book/pub27.jpg,市場は物理法則で動く―経済学は物理学によってどう生まれ変わるのか？,マーク・ブキャナン 著 / 熊谷玲美 訳 / 高安秀樹 解説,白揚社,2015年8月30日,解説「経済物理学の誕生と発展」,https://www.amazon.co.jp/dp/4826901828,hideki,,9784826901826,https://www.hakuyo-sha.co.jp/physics/市場は物理法則で動く/,https://www.hakuyo-sha.co.jp/wp/wp-content/uploads/2016/06/601.jpg
28,2015,data/images/book/pub28.jpg,現象数理学の冒険,三村昌泰 編著 / 高安秀樹 ほか分担執筆,明治大学出版会（発売：丸善出版）,2015年1月,第5章「金融危機の数理―最適モデルをどう作るのか」高安秀樹,https://www.amazon.co.jp/dp/4906811108,hideki,,9784906811106,https://www.meiji.ac.jp/press/list/libertybooks/li_09_mimura.html,https://www.meiji.ac.jp/press/list/libertybooks/6t5h7p00000i3bdc-img/shoei.jpg
16,2014,data/images/book/pub16.jpg,学生・技術者のためのビッグデータ解析入門,高安美佐子 編著・田村光太郎・三浦航 著,日本評論社,2014年6月10日,データのダウンロードや演習の解答あり,https://www.amazon.co.jp/dp/4535787158,misako,,,https://takayasu-research-lab.com/en/book.php,
29,2013,data/images/book/pub29.jpg,現象数理学入門,三村昌泰 編 / 高安秀樹 ほか分担執筆,東京大学出版会,2013年9月,第6章「経済の現象数理―バブルの発生と崩壊の数理」高安秀樹,https://www.amazon.co.jp/dp/4130629166,hideki,,9784130629164,https://www.kansai-u.ac.jp/Fc_inf/fm/books/tomoeda02.html,https://images-na.ssl-images-amazon.com/images/P/4130629166.09.LZZZZZZZ.jpg
15,2012,data/images/book/pub15.jpg,ソーシャルメディアの経済物理学(ウェブから読み解く人間行動),高安美佐子 著・編,日本評論社,2012年8月25日,,https://www.amazon.co.jp/dp/4535556784,misako,,,https://takayasu-research-lab.com/en/book.php,
14,2012,data/images/book/pub14.jpg,計算と社会(岩波講座 計算科学 第6巻),宇川彰・押山淳・小柳義夫・杉原正顯・住明正・中村春木 編集,岩波書店,2012年6月28日,第2章「金融市場-経済物理学の観点から」高安美佐子,https://www.amazon.co.jp/dp/4000113062,misako,,,https://takayasu-research-lab.com/en/book.php,
12,2012,data/images/book/pub12.jpg,Complex systems in Finance and Econometrics,Robert A. Meyers / Ed.,Springer,2012年5月7日,Fractals and Economics / Misako Takayasu and Hideki Takayasu,https://www.amazon.com/dp/1441977023,misako;hideki,,,https://takayasu-research-lab.com/en/book.php,
13,2010,data/images/book/pub13.jpg,Econophysics Approaches to Large-Scale Business Data and Financial Crisis: Proceedings of Tokyo Tech-Hitotsubashi Interdisciplinary Conference + APFA7,Misako Takayasu・Tsutomu Watanabe・Hideki Takayasu / Eds.,Springer,2010年4月29日,,https://www.amazon.co.jp/dp/4431538526,misako;hideki,,,https://takayasu-research-lab.com/en/book.php,
11,2008,data/images/book/pub11.jpg,科学2008年11月号 特集 非線形という科学の見方,,岩波書店,2008年11月,トピックス「金融市場を支配する法則-非線形ポテンシャルと暴騰暴落」高安美佐子・高安秀樹,,misako;hideki,,,https://takayasu-research-lab.com/en/book.php,
10,2008,data/images/book/pub10.gif,禁断の市場～フラクタルでみるリスクとリターン～,マンデルブロ B.B.・ハドソン R.L. 著 / 高安秀樹 監訳 / 雨宮絵理・高安美佐子・冨永義治・山崎和子 訳,東洋経済新報社,2008年6月6日,ISBN:4492654178,https://www.amazon.co.jp/dp/4492654178,misako;hideki,,,https://str.toyokeizai.net/books/9784492654170/,
9,2005,data/images/book/pub9.gif,Complex Dynamics in Communication Networks,Ljupco Kocarev・Gabor Vattay / Eds.,Springer,2005年8月15日,Chapter 14: Dynamic Complexity in the Internet Traffic / Misako Takayasu,https://www.amazon.co.jp/dp/3540243054,misako,,,https://takayasu-research-lab.com/en/book.php,
22,2005,data/images/book/pub22.jpg,Practical Fruits of Econophysics: Proceedings of The Third Nikkei Econophysics Symposium,Hideki Takayasu / Ed.,Springer,2005年11月22日,書誌年：2006年。高安美佐子も分担執筆。,https://www.amazon.co.jp/dp/4431289143,misako;hideki,,9784431289142,https://link.springer.com/book/10.1007/4-431-28915-1,https://media.springernature.com/w600/springer-static/cover/book/978-4-431-28915-9.jpg
8,2004,data/images/book/pub8.gif,ゆらぎの科学と技術―フラクチュオマティクス入門,山本光璋・鷹野致和 編集,東北大学出版会,2004年9月,第10章「ネットワーク物理学と1/fゆらぎ」高安美佐子,https://www.amazon.co.jp/dp/4925085905,misako,,,https://takayasu-research-lab.com/en/book.php,
7,2004,data/images/book/pub7.gif,ながれの事典,神部勉 編集,丸善,2004年3月,p267-270「情報の流れ information traffic」高安美佐子,https://www.amazon.co.jp/dp/4621073818,misako,,,https://takayasu-research-lab.com/en/book.php,
23,2004,data/images/book/pub23.jpg,経済物理学の発見,高安秀樹 著,光文社,2004年9月,光文社新書,https://www.amazon.co.jp/dp/4334032672,hideki,,9784334032678,https://ndlsearch.ndl.go.jp/books/R100000002-I000007491547,https://img.hanmoto.com/bd/img/9784334032678_600.jpg
24,2003,data/images/book/pub24.jpg,The Application of Econophysics: Proceedings of the Second Nikkei Econophysics Symposium,Hideki Takayasu / Ed.,Springer,2003年11月20日,書誌年：2004年。高安美佐子も分担執筆。,https://www.amazon.co.jp/dp/443114028X,misako;hideki,,9784431140283,https://link.springer.com/book/10.1007/978-4-431-53947-6,https://media.springernature.com/w600/springer-static/cover/book/978-4-431-53947-6.jpg
6,2001,data/images/book/pub6.gif,エコノフィジックス 市場に潜む物理法則,高安秀樹・高安美佐子 著,日本経済新聞社,2001年12月,ISBN:4532149541,https://www.amazon.co.jp/dp/4532149541,misako;hideki,,,https://takayasu-research-lab.com/en/book.php,
25,2001,data/images/book/pub25.jpg,Empirical Science of Financial Fluctuations: The Advent of Econophysics,Hideki Takayasu / Ed.,Springer,2001年12月1日,書誌年：2002年。高安美佐子も分担執筆。,https://www.amazon.co.jp/dp/4431703160,misako;hideki,,9784431703167,https://link.springer.com/book/10.1007/978-4-431-66993-7,https://media.springernature.com/w600/springer-static/cover/book/978-4-431-66993-7.jpg
5,2000,data/images/book/pub5.gif,経済・情報・生命の臨界ゆらぎ―複雑系科学で近未来を読む,高安秀樹・高安美佐子 著,ダイヤモンド社,2000年4月,ISBN:447883010X,https://www.amazon.co.jp/dp/447883010X,misako;hideki,,,https://www.diamond.co.jp/book/9784478830109.html,
4,2000,data/images/book/pub4.gif,バタフライパワー-カオスは創造性の源だ,J.ブリッグス・F.D.ピート 著 / 高安美佐子・山岸美枝子 訳,ダイヤモンド社,2000年4月,ISBN:4478830118,https://www.amazon.co.jp/dp/4478830118,misako,,,https://takayasu-research-lab.com/en/book.php,
3,1997,data/images/book/pub3.gif,Nonequilibrium Statistical Mechanics in One Dimension,Vladimir Privman / Ed.,Cambridge University Press,1997年3月,Chapter 9: Stochastic Models of Aggregation with Injection / Misako Takayasu and Hideki Takayasu,https://www.amazon.co.jp/dp/052155974X,misako;hideki,,,https://takayasu-research-lab.com/en/book.php,
2,1991,data/images/book/pub2.gif,鏡の伝説-カオス・フラクタル理論が自然を見る目を変えた,J.ブリッグス・F.D.ピート 著 / 高安秀樹・高安美佐子 訳,ダイヤモンド社,1991年11月,ISBN:4478830053,https://www.amazon.co.jp/dp/4478830053,misako;hideki,,,https://takayasu-research-lab.com/en/book.php,
26,1990,data/images/book/pub26.jpg,Fractals in the Physical Sciences,Hideki Takayasu,Manchester University Press,1990年,,https://www.amazon.co.jp/dp/0719024854,hideki,,9780719024856,https://ndlsearch.ndl.go.jp/books/R100000002-I000003197229,https://pictures.abebooks.com/isbn/9780719024856-us.jpg
