##役職,,名前,,写真,,期間,,homepage,,
Specially Appointed Professor,,Shlomo Havlin Specially Appointed Professor,,havlin.gif,,R4.4.1～R7.3.31 WRH,,,,
Specially Appointed Professor,,Henrik Jeldtoft Jensen Specially Appointed Professor,,jensen.gif,,R4.4.1～R7.3.31 WRH,,,,
Specially Appointed Associate Professor,,Gen Sakoda Specially Appointed Associate Professor (Lecturer),,GenSakoda_2023.jpg,,R5.4.1～R7.3.31 Center for Collaborative Research with Sony Corporation,,,,
Specially Appointed Assistant Professor,,Jun'ichi Ozaki Specially Appointed Assistant Professor,,ozaki.jpg,,H28.10.1～R1.3.31　Post-K Computer Exploratory Challenges,,,,
Specially Appointed Professor,,Hideki Takayasu Specially Appointed Professor,,takayasu_hideki.jpg,,H27.1.1～R5.3.31 Center for TDB Advanced Data Analysis and Modeling<br>R5.4.1～R6.12.31 Center for Collaborative Research with Sony Corporation,,,,
Specially Appointed Associate Professor,,Suguru Yamanaka Specially Appointed Associate Professor,,yamanaka.jpg,,H30.9.1～R5.3.31 Center for TDB Advanced Data Analysis and Modeling,,,,
Visiting Professor,,Takatoshi Ito Visiting Professor,,Ito_Takatoshi.jpg,,R2.9.1～R4.3.31 WRHI,,,,
Visiting Professor,,Vittoria Colizza Visiting Professor,,colizza_full_trim.jpg,,R2.9.1～R4.3.31 WRHI,,,,
Visiting Associate Professor,,Paul Expert Visiting Associate Professor,,Paul_Expert.jpg,,R2.9.1～R4.3.31 WRHI,,,,
Specially Appointed Professor,,H. Eugene Stanley Specially Appointed Professor,,Stanley_orig.jpg,,H30.1.9～R2.3.31 WRHI,,,,
Specially Appointed Professor,,Didier Sornette Specially Appointed Professor,,sornette.gif,,H28.11.23～R4.3.31 WRHI,,,,
