date,name_affiliation,url
2016-11-20〜2016-11-25,Shlomo Havlin 特任教授（WRHI）,
2016-10-31〜,Henrik Jeldtoft Jensen 特任教授（WRHI）,
2016-11-22〜2016-11-27,Didier Sornette 特任教授（WRHI）,
2017-02-27〜2017-03-02,Shlomo Havlin 特任教授（WRHI）,
2017-03-27〜2017-03-31,Dr.Fatimah Abdul Razak (Universiti Kebangsaan Malaysia),
2017-03-27〜2017-04-07,Henrik Jeldtoft Jensen 特任教授（WRHI）,
2017-09-04〜2017-09-08,"Shlomo Havlin 特任教授（WRHI） ",
2017-12-10〜2017-12-22,"Mr. Orr Levy (Bar-Ilan University) ",
2017-12-19〜2017-12-22,Shlomo Havlin 特任教授（WRHI）,
2018-01-09〜2018-01-12,Eugene Stanley特任教授（University of Boston）,
2018-02-13〜2018-02-18,Didier Sornette 特任教授 (WRHI),
2018-02-17〜2018-02-25,Mr. Andrea Cairoli (Imperial College London),
2018-03-05〜2018-03-19,Mr. Alberto Ciacci (Imperial College London),
2018-03-06〜2018-03-10,Mr. Gunner Pruessner (Imperial College London),
2018-04-08〜2018-04-21,Henrik Jensen 特任教授 (WRHI),
2018-04-07〜2018-04-23,Dr. Paul Expert (Imperial College London),
2018-04-09〜2018-04-15,Prof. Mauricio Barahona (Imperial College London),
2018-04-15〜2018-04-21,Dr. Tim Evans (Imperial College London),
2018/410-19,Mr. Murat Erkurt (Imperial College London),
2018-04-07〜2018-04-19,Dr. Fernando Rosas (Imperial College London),
2018-05-27〜2018-05-31,Shlomo Havlin 特任教授 (WRHI),
2018-05-27〜2018-05-30,Mr. Orr Levy (Bar-Ilan University),
2018-09-03〜2018-09-06,Shlomo Havlin 特任教授 (WRHI),
2018-11-18〜2018-11-22,Shlomo Havlin 特任教授 (WRHI),
2018-11-18〜2018-11-22,Mr. Orr Levy (Bar-Ilan University),
2018-11-18〜2018-11-22,Didier Sornette 特任教授 (WRHI),
2018-11-25〜2018-12-01,Henrik Jensen 特任教授 (WRHI),
2018-11-25〜2018-12-01,Mr. Eduardo Viegas (Imperial College London),
2019-02-18〜2019-02-21,Shlomo Havlin 特任教授 (WRHI),
2019-02-19〜2019-02-23,Eugene Stanley 特任教授 (WRHI),
2019-03-02〜2019-03-22,Alberto Ciacci準客員若手研究員 (Imperial College London),
2019-03-18〜2019-03-19,Didier Sornette 特任教授 (WRHI),
2019-04-02〜2019-04-05,Henrik Jensen 特任教授 (WRHI),
2019-06-17〜2019-06-19,Shlomo Havlin 特任教授 (WRHI),
2019-10-02〜2019-10-11,Mr. Eduardo Viegas (Imperial College London),
2019-10-07〜2019-10-11,Henrik Jensen 特任教授 (WRHI),
2019-10-08〜2019-11-15,Alberto Ciacci準客員若手研究員 (Imperial College London),
2019-11-11〜2019-11-14,Shlomo Havlin 特任教授 (WRHI),
2019-12-10〜2019-12-13,Didier Sornette 特任教授 (WRHI),
2020-01-20〜2020-01-22,Shlomo Havlin 特任教授 (WRHI),
2022-09-26〜2022-10-12,Eduardo Viegas 特定准教授 (WRH),
2022-10-03〜2022-10-14,Henrik Jensen 特任教授 (Imperial College London/IIR海外招聘研究者プログラム),
2022-11-28〜2022-11-30,Shlomo Havlin 特任教授 (WRH),
2022-12-08〜2023-01-04,伊藤 隆敏 特定教授 (コロンビア大学/IIR海外招聘研究者プログラム),
2023-03-13〜2023-03-15,Shlomo Havlin 特任教授 (WRH),
2023-04-01〜2023-09-30,Dan Johansson 海外交流学生（Chalmers University of Technology/YSEP）,
2023-04-17〜2023-05-02,Eduardo Viegas 特任准教授 (WRH),
2023-06-26〜2023-06-28,Shlomo Havlin 特任教授 (WRH),
2023-07-01〜2023-08-31,Luca Ratzinger 海外交流学生（Imperial College London/IROP）,
2023-08-28〜2023-09-22,Eduardo Viegas 特任准教授 (WRH),
2023-09-04〜2023-09-15,Henrik Jensen 特任教授 (Imperial College London),
2024-01-09〜2024-01-26,Eduardo Viegas 特任准教授 (WRH),
2024-02-01〜2024-04-30,Fan Wang 準客員若手研究員（Bar-Ilan University）,
2024-03-25〜2024-03-27,Shlomo Havlin 特任教授 (WRH),
2024-04-04〜2024-04-25,Eduardo Viegas 特任准教授 (WRH),
2024-07-01〜2024-07-03,Shlomo Havlin 特任教授 (WRH),
2024-09-09〜2024-09-11,Shlomo Havlin 特任教授（WRH）,
"2024-10-02〜2024-10-11, 2024-10-24〜2024-10-29","Dr. Yoed Kenett (Assistant Professor, Israel Institute of Technology)",
2024-10-03〜2024-10-25,Eduardo Viegas 特任准教授（WRH）,
2024-12-09〜2024-12-13,Henrik Jensen 特任教授 (Imperial College London),
2025-01-23〜2025-02-14,Eduardo Viegas 特任准教授 (WRH),
2025-01-27〜2025-01-29,Shlomo Havlin 特任教授 (WRH),
2025-04-01〜2025-05-04,Daniel Dan 準客員研究員（Modul University Vienna),
2025-07-14〜2025-07-16,Prof. Shlomo Havlin (Bar-Ilan University),
2025-11-04〜2025-11-19,Eduardo Viegas 特任准教授（Imperial Colege London）,
2025-11-17〜2026-02-01,Virgile Merlin Marie Troude 準客員若手研究員（南方科技大学）,
2025-12-08〜2025-12-10,Prof. Shlomo Havlin（Bar-Ilan University）,
2025-12-08〜2025-12-10,Dr. Orr Levy（Bar-Ilan University）,
2026-03-01〜2026-05-31,Sai Niranjan Ramachandran (Technical University of Munich）,
2026-04-10,Jibeom Choi (Korea Institute for Advanced Study),
